178,VTPL,"R$ 0,00","5,11",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/VTPL11
179,RELG,"R$ 49,20","0,10",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/RELG11
180,CVBI,"R$ 94,34","0,95",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CVBI11
181,MCCI,"R$ 94,26","0,80",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/MCCI11
182,FGPM,"R$ 0,00",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/FGPM11
183,ATWN,"R$ 0,00",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/ATWN11
184,ARRI,"R$ 9,18","0,10",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/ARRI11
185,BTAL,"R$ 70,18","0,65",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/BTAL11
186,CXCO,"R$ 83,25","0,73",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CXCO11
187,HOSI,"R$ 89,98","0,62",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/HOSI11
188,MGHT,"R$ 43,88","0,51",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/MGHT11
189,RECX,"R$ 67,13","0,60",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/RECX11
190,PVBI,"R$ 101,55","0,65",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/PVBI11
191,DVFF,"R$ 7,79","0,07",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/DVFF11
192,RFOF,"R$ 79,38","0,74",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/RFOF11
193,VTPA,"R$ 0,00",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/VTPA11
194,VTXI,"R$ 0,00",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/VTXI11
195,SPXC,"R$ 0,00",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/SPXC11
196,BTCI,"R$ 10,14","0,09",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/BTCI11
